k,m,a,t,n,n_symbol_copied,avg_info,n_copies,avg_len,avg_acc,time
14,0,1,0.8,1,copy:,1.79197,8272284,1,0.576246,18
14,0,1,0.8,4,copy:,1.75102,8272284,1,0.599843,23
14,0,1,0.8,8,copy:,1.74711,8272284,1,0.602096,27
14,0,0.1,0.5,1,copy:,1.92718,696786,21.3321,0.19911,12
14,0,0.1,0.5,4,copy:,1.92022,617781,24.5286,0.2087,13
14,0,0.1,0.5,8,copy:,1.91831,605059,25.1755,0.208739,14
14,0,0.1,0.7,1,copy:,1.7842,1212295,9.76253,0.275058,13
14,0,0.1,0.7,4,copy:,1.76736,1069699,11.3016,0.292299,13
14,0,0.1,0.7,8,copy:,1.76346,1049476,11.5771,0.291606,14
14,0,0.1,0.8,1,copy:,1.73326,1506562,6.91554,0.304258,13
14,0,0.1,0.8,4,copy:,1.70937,1321621,8.03241,0.324197,13
14,0,0.1,0.8,8,copy:,1.70365,1294561,8.24355,0.323367,14
14,0,0.01,0.5,1,copy:,1.9612,696786,21.3321,0.150072,13
14,0,0.01,0.5,4,copy:,1.95285,617781,24.5286,0.161676,13
14,0,0.01,0.5,8,copy:,1.95028,605059,25.1755,0.161719,13
14,0,0.01,0.7,1,copy:,1.84845,1212295,9.76253,0.230972,13
14,0,0.01,0.7,4,copy:,1.82902,1069699,11.3016,0.250802,14
14,0,0.01,0.7,8,copy:,1.82375,1049476,11.5771,0.250001,13
14,0,0.01,0.8,1,copy:,1.81802,1506562,6.91554,0.262744,13
14,0,0.01,0.8,4,copy:,1.79012,1321621,8.03241,0.285422,14
14,0,0.01,0.8,8,copy:,1.78247,1294561,8.24355,0.284463,14
14,1,1,0.5,1,copy:,1.90199,603708,25.507,0.348844,13
14,1,1,0.5,4,copy:,1.89621,548115,28.6014,0.354479,13
14,1,1,0.5,8,copy:,1.89455,535694,29.4212,0.354445,13
14,1,1,0.7,1,copy:,1.74501,1162539,10.3763,0.42609,13
14,1,1,0.7,4,copy:,1.72938,1051563,11.6941,0.436766,13
14,1,1,0.7,8,copy:,1.72639,1031648,11.9756,0.436226,14
14,1,1,0.8,1,copy:,1.76238,4546919,2,0.59621,15
14,1,1,0.8,4,copy:,1.71446,4546919,2,0.627427,19
14,1,1,0.8,8,copy:,1.70877,4546919,2,0.630609,22
14,1,0.1,0.5,1,copy:,1.92824,603708,25.507,0.238203,12
14,1,0.1,0.5,4,copy:,1.92198,548115,28.6014,0.249197,13
14,1,0.1,0.5,8,copy:,1.91971,535694,29.4212,0.249134,13
14,1,0.1,0.7,1,copy:,1.79007,1109654,11.0801,0.34175,13
14,1,0.1,0.7,4,copy:,1.77343,1004952,12.4803,0.359338,14
14,1,0.1,0.7,8,copy:,1.76927,986365,12.7748,0.358417,13
14,1,0.1,0.8,1,copy:,1.74123,1376971,7.96427,0.372143,13
14,1,0.1,0.8,4,copy:,1.71698,1241783,8.98111,0.39145,14
14,1,0.1,0.8,8,copy:,1.711,1217729,9.20144,0.390261,14
14,1,0.01,0.5,1,copy:,1.9723,603708,25.507,0.216973,13
14,1,0.01,0.5,4,copy:,1.96428,548115,28.6014,0.229059,13
14,1,0.01,0.5,8,copy:,1.96104,535694,29.4212,0.228989,13
14,1,0.01,0.7,1,copy:,1.8761,1109654,11.0801,0.325812,13
14,1,0.01,0.7,4,copy:,1.85595,1004952,12.4803,0.344796,13
14,1,0.01,0.7,8,copy:,1.85001,986365,12.7748,0.343797,14
14,1,0.01,0.8,1,copy:,1.85237,1376971,7.96427,0.357889,14
14,1,0.01,0.8,4,copy:,1.82276,1241783,8.98111,0.378601,14
14,1,0.01,0.8,8,copy:,1.81435,1217729,9.20144,0.377307,17
